UniProt ID	Gene	pLDDT	UniProt Annotation	Swiss-Prot	UniProt	AlphaFold-Proteomes	Most frequent hit	Most frequent hit n
A8B787	GL50803_10858	91.08	MYG1 protein	MYG1 protein	MYG1 protein	MYG1 protein	Metal-dependent protein hydrolase	43
A8B788	GL50803_10857	58.26	Small nuclear ribonucleoprotein B	U6 snRNA-associated Sm-like protein LSm6	Small nuclear ribonucleoprotein (Sm)	U6 snRNA-associated Sm-like protein LSm6	Small nuclear ribonucleoprotein Sm D1	197
A8B728	GL50803_113163	85.43	VSP	Variant-specific surface protein VSP4A1	VSP	Proprotein convertase subtilisin/kexin type 4	Variant-specific surface protein	276
A8B740	GL50803_32786	67.52	Coiled-coil protein	Charged multivesicular body protein 4c	Charged multivesicular body protein 5	Small conductance calcium-activated potassium channel protein 2	Flagellar FliJ protein	16
A8B7B6	GL50803_16833	85	Tenascin-like	None	EGF-like domain-containing protein	None	SEA domain-containing protein	5
A8B7C0	GL50803_2014	52.5	Uncharacterized protein	Testis-expressed protein 47	Inner-arm dynein f/I1 light chain	Testis-expressed protein 47	BLUF domain-containing protein	108
A8B738	GL50803_2796	68.18	non-specific serine/threonine protein kinase	Serine/threonine-protein kinase PAK 3	serine/threonine-protein kinase PAK 3 isoform X4	Serine/threonine-protein kinase PAK 3	Protein kinase domain-containing protein	402
A8B742	GL50803_16636	89.21	Rab2b	Ras-related protein RABB1b	GTP-binding protein YPTC4	Ras-related protein RABB1b	Elongation factor G	63
A8B7C8	GL50803_16729	70.77	Spindle pole protein, putative	None	None	None	None	0
A8B754	GL50803_15218	71.13	WD-40 repeat protein	Cilia- and flagella-associated protein 52	cilia- and flagella-associated protein 52	Cilia and flagella-associated protein 52	WD_REPEATS_REGION domain-containing protein	66
A8B7C4	GL50803_2011	38.03	Uncharacterized protein	None	None	None	None	0
A8B7K5	GL50803_15475	84.04	High cysteine membrane protein Group 2	None	High cysteine membrane protein Group 2	Similar to tumor necrosis factor receptor superfamily, member 18, isoform CRA_b	SEA domain-containing protein	2
A8B786	GL50803_15307	89.94	Nitroreductase family protein	FMN reductase [NAD(P)H]	NAD(P)H nitroreductase	Nitroreductase domain-containing protein	Nitroreductase	282
A8B772	GL50803_7244	74.49	Reticulon-like protein	ADP-ribosylation factor-like protein 6-interacting protein 1	Reticulon-like protein	None	Reticulon-like protein	20
A8B758	GL50803_15219	69.19	Chromosome segregation protein SMC	None	Mobilization protein	Protein kinase protein with adenine nucleotide alpha hydrolase-like domain	Mobilization protein	1
A8B7L0	GL50803_15474	72.87	WKF domain-containing protein	UPF0302 protein SA1295	Zmp:0000000624	Zmp:0000000624	Zmp:0000000624	14
A8B756	GL50803_10460	52.58	Chromosome segregation protein SMC	None	None	None	None	0
A8B7A7	GL50803_29327	83.99	Vacuolar protein sorting 2	Charged multivesicular body protein 2a	Lactamase_B domain-containing protein	SNF7 family protein	SNF7 family protein	20
A8B7K8	GL50803_11690	74.61	High cysteine membrane protein	None	Variant-specific surface protein	None	Variant-specific surface protein	1
A8B731	GL50803_13467	77.85	Uncharacterized protein	Cilia- and flagella-associated protein 161	Predicted protein	Cilia- and flagella-associated protein 161	Dolichyl-phosphate-mannose--protein mannosyltransferase	132
A8B775	GL50803_7243	34.85	Encystation-specific secretory granule protein-1	Probable serine/threonine-protein kinase PkwA	Non-specific serine/threonine protein kinase	WD_REPEATS_REGION domain-containing protein	WD40 repeat domain-containing protein	55
A8B7A8	GL50803_10840	79.42	DNA-directed RNA polymerases I and III 16 kDa polypeptide	DNA-directed RNA polymerases I and III subunit RPAC2	DNA-directed RNA polymerases I and III 16 kDa polypeptide	DNA-directed RNA polymerases I and III subunit RPAC2	RNA_pol_L_2 domain-containing protein	339
A8B7B3	GL50803_2101	92.32	Cytidine deaminase	Cytidine deaminase	Cytidine deaminase	Cytidine deaminase	Cytidine deaminase	1002
A8B7C1	GL50803_2013	78.41	Glutaredoxin 5	Monothiol glutaredoxin-S4, mitochondrial	Glutaredoxin	Glutaredoxin	Glutaredoxin	330
A8B7I5	GL50803_11701	31.61	Uncharacterized protein	None	None	None	None	0
A8B732	GL50803_3855	46.57	Uncharacterized protein	Type 2 DNA topoisomerase 6 subunit B	Top6B/Bin3 vegetative topoisomerase VIB	DNA topoisomerase 6 subunit B	Type 2 DNA topoisomerase 6 subunit B	219
A8B7L4	GL50803_15472	77.92	Vacuolar protein sorting 46a	Charged multivesicular body protein 1a	Charged multivesicular body protein 1a	Charged multivesicular body protein 1a	PspA/IM30 family protein	37
A8B7Q4	GL50803_9116	87.38	Kinase, CMGC GSK	Shaggy-related protein kinase theta	Glycogen synthase kinase-3 beta	Non-specific serine/threonine protein kinase	Protein kinase domain-containing protein	455
A8B7P2	GL50803_14869	73.8	Ribosomal protein L24	50S ribosomal protein L24e	LSU ribosomal protein L24E	50S ribosomal protein L24e	TRASH domain-containing protein	199
A8B7R1	GL50803_9121	46.33	Uncharacterized protein	None	Rsph9 protein	None	Rsph9 protein	1
A8B7M0	GL50803_11683	94.19	Alpha-3 giardin	Giardin subunit alpha-3	Alpha-6 giardin	Annexin	Annexin	816
A8B7R6	GL50803_17538	55.26	Phosphoprotein phosphatase 2A regulatory subunit	Serine/threonine protein phosphatase 2A regulatory subunit B''alpha	EF-hand domain-containing protein	Serine/threonine protein phosphatase 2A regulatory subunit B''alpha	EF-hand domain-containing protein	10
A8B7P6	GL50803_111973	83.54	Lipid-binding serum glycoprotein C-terminal domain-containing protein	BPI fold-containing family C protein	BPI domain containing protein	BPI fold-containing family C protein	Bactericidal permeability-increasing protein	112
A8B7P0	GL50803_14868	87.95	Leucine-rich repeat protein	Tonsoku-like protein	RNA-DNA hybrid ribonuclease	Nalp (Nacht, leucine rich repeat and pyrin domain containing)-related	RNI-like protein	20
A8B7M9	GL50803_17543	61.46	MYND finger domain-containing protein	Zinc finger MYND domain-containing protein 10	Zinc finger MYND-type containing 10	Zinc finger MYND domain-containing protein 10	Zinc finger MYND domain-containing protein 10	19
A8B7P4	GL50803_17539	91.74	RNA helicase	Probable pre-mRNA-splicing factor ATP-dependent RNA helicase DEAH2	RNA helicase	Probable pre-mRNA-splicing factor ATP-dependent RNA helicase DEAH2	RNA helicase	206
A8B7M7	GL50803_11676	59.76	Sirtuin type 2	NAD-dependent protein deacetylase hst2	SIR2 family protein	NAD-dependent protein deacetylase hst2	NAD-dependent protein deacetylase	275
A8B7R2	GL50803_14874	85.54	SAS-6_N domain-containing protein	Spindle assembly abnormal protein 6 homolog	SAS-6_N domain-containing protein	SAS-6_N domain-containing protein	SAS-6_N domain-containing protein	240
A8B7N0	GL50803_11186	78.11	RNA binding protein	Serine/arginine-rich splicing factor 5	Serine-arginine protein 55	Serine/arginine-rich splicing factor 5	RRM domain-containing protein	309
A8B7M5	GL50803_11677	38.5	Uncharacterized protein	None	None	None	None	0
A8B7M3	GL50803_15469	72.7	SKD1 protein	Vacuolar protein sorting-associated protein 4	AAA-domain-containing protein	Vacuolar protein sorting-associated protein 4	AAA domain-containing protein	400
A8B7Q7	GL50803_9119	90.52	ATP-dependent RNA helicase	ATP-dependent rRNA helicase RRP3	DEAD-domain-containing protein	RNA helicase	RNA helicase	409
A8B7S9	GL50803_9198	38.8	Uncharacterized protein	Protein claret segregational	Kinesin motor domain-containing protein	Protein claret segregational	Kinesin-like protein	22
A8B892	GL50803_16426	33.61	Uncharacterized protein	None	None	None	None	0
A8B830	GL50803_11170	81.12	LMBR1-like membrane protein	LIMR family protein DDB_G0283707	LMBR1-like membrane protein	LIMR family protein DDB_G0283707	Probable lysosomal cobalamin transporter	78
A8B7Z5	GL50803_16979	84.99	Rab32	Ras-related protein Rab-38	GTPase	Ras-related protein Rab	GTPase Obg	238
A8B871	GL50803_10410	85.04	Ankyrin repeat protein 1	Sex-determining protein fem-1	Ankyrin repeat protein	ANK_REP_REGION domain-containing protein	Ankyrin repeat protein 1	216
A8B7Y4	GL50803_15310	76.64	WD40 repeat protein	Cilia- and flagella-associated protein 52	Guanine nucleotide-binding protein subunit beta-like protein	Cilia- and flagella-associated protein 52	WD_REPEATS_REGION domain-containing protein	68
A8B7S6	GL50803_14895	62.68	Spindle pole protein, putative	None	Kinesin-like protein	None	Kinesin-like protein	1
A8B7Y8	GL50803_10892	44.41	Uncharacterized protein	None	None	None	None	0
A8B825	GL50803_33721	37.02	Uncharacterized protein	None	None	None	None	0
A8B7Z1	GL50803_10893	88.47	Kinase, NEK	Probable serine/threonine-protein kinase nek2	Kinase-like protein	LD04361p	Protein kinase domain-containing protein	452
A8B817	GL50803_16973	32.6	Uncharacterized protein	None	None	None	None	0
A8B882	GL50803_17069	79.1	Kinase, NEK	Serine/threonine-protein kinase Nek9	Kinase-like protein	Serine/threonine-protein kinase NrkA	Protein kinase domain-containing protein	261
A8B843	GL50803_11178	86.54	Kinase, CAMK CAMK1	Probable myosin light chain kinase DDB_G0271550	Calcium/calmodulin-dependent protein kinase type 1D-like	Protein kinase domain-containing protein	Non-specific serine/threonine protein kinase	406
A8B861	GL50803_112557	56.98	Ankyrin repeat protein 1	KN motif and ankyrin repeat domain-containing protein 2	Ankyrin repeat-containing protein	S-acyltransferase	Ankyrin_rpt-contain_dom domain-containing protein	23
A8B7V7	GL50803_137703	85.1	Ankyrin repeat protein 1	CARD- and ANK-domain containing inflammasome adapter protein	Ankyrin repeat protein	Ankyrin repeat domain 44	Ankyrin repeat protein 1	160
A8B860	GL50803_3957	71.51	Kinase, NEK	Mitogen-activated protein kinase HOG1	Aurora kinase	Mitogen-activated protein kinase	Non-specific serine/threonine protein kinase	300
A8B858	GL50803_3958	36.08	Uncharacterized protein	None	None	None	None	0
A8B820	GL50803_17060	71.62	Ankyrin repeat protein 1	Ankyrin repeat domain-containing protein 35	Kinase, NEK	Ankyrin repeat domain-containing protein 36C	Protein 21.1	27
A8B7S7	GL50803_9196	89.84	Kinase, NEK	Serine/threonine-protein kinase Nek1	NIMA (Never in mitosis protein a)-related kinase	Serine/threonine-protein kinase Nek1	Protein kinase domain-containing protein	451
A8B819	GL50803_13223	91.01	Ankyrin repeat protein 1	Espin-like protein	Protein 21.1	Ankyrin repeat family protein	Ankyrin repeat protein 1	144
A8B846	GL50803_17062	36.37	Uncharacterized protein	None	None	None	None	0
A8B821	GL50803_11164	71.41	Ankyrin repeat protein 1	Cortactin-binding protein 2	Ankyrin_rpt-contain_dom domain-containing protein	Ankyrin repeat protein	Ankyrin_rpt-contain_dom domain-containing protein	32
A8B7X7	GL50803_88556	78.48	Ubiquitin thioesterase OTU	Ubiquitin thioesterase otu2	OTU domain-containing protein 6B	Unplaced genomic scaffold supercont1.8, whole genome shotgun sequence	OTU domain-containing protein	24
A8B7X0	GL50803_7706	57.97	Uncharacterized protein	None	Predicted protein	None	Probable membrane transporter protein	3
A8B870	GL50803_29181	82.92	Uncharacterized protein	Beta-phosphoglucomutase	Phosphoglycolate phosphatase	Beta-phosphoglucomutase	Enolase-phosphatase E1	184
A8B7Y6	GL50803_10889	52.02	Uncharacterized protein	Calmodulin	EF-hand domain-containing protein	Calmodulin	Calmodulin	21
A8B7S2	GL50803_17536	74.83	UsoAp	None	Unnamed product	None	Unnamed product	1
A8B7T7	GL50803_4313	78.46	VSP	Major surface trophozoite antigen 11	VSP	P/Homo B domain-containing protein	Variant-specific surface protein	156
A8B872	GL50803_112553	88.29	Kinase, NEK	Serine/threonine-protein kinase Nek6	Predicted protein	NIMA related kinase 4	Protein kinase domain-containing protein	490
A8B7W2	GL50803_3934	31.94	Uncharacterized protein	None	None	None	None	0
A8B7X9	GL50803_16978	55.58	HAUS augmin-like complex subunit 6 N-terminal domain-containing protein	None	None	None	None	0
A8B7S5	GL50803_9194	81.92	DNA replication licensing factor MCM4	DNA replication licensing factor MCM4	DNA replication licensing factor MCM4	DNA replication licensing factor MCM4	Holliday junction ATP-dependent DNA helicase RuvB	626
A8B893	GL50803_92095	42.23	Myb-like domain-containing protein	None	Myb-like domain-containing protein	None	Myb-like domain-containing protein	1
A8B813	GL50803_7696	71.58	Serine/threonine protein kinase	None	None	None	None	0
A8B7X5	GL50803_25013	64.67	High cysteine membrane protein	None	None	None	None	0
A8B7W8	GL50803_135885	96.17	Histidine phosphatase superfamily protein	Phosphoserine phosphatase 1	Phosphoglycerate mutase	Bifunctional RNase H/acid phosphatase	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	432
A8B801	GL50803_15313	73.68	tRNA pseudouridine synthase	tRNA pseudouridine synthase A	tRNA pseudouridine synthase	tRNA pseudouridine(38/39) synthase	tRNA pseudouridine synthase A	1261
A8B7V0	GL50803_137702	59.65	Kinase	Mitogen-activated protein kinase 1	Mitogen-activated protein kinase	Serine/threonine kinase	Protein kinase domain-containing protein	353
A8B802	GL50803_10908	54.78	LisH domain-containing protein	F-box-like/WD repeat-containing protein TBL1Y	NB-ARC domain-containing protein	WD domain-containing protein	WD40 repeat-like protein	25
A8B7X6	GL50803_25011	87.12	RNA-binding protein	Splicing factor 3B subunit 4	RNP-1 like protein RNA-binding protein, Glycine-rich	Spliceosome-associated protein 49	RRM domain-containing protein	358
A8B823	GL50803_11165	71.69	Ankyrin repeat protein 1	Cortactin-binding protein 2	WH2 domain-containing protein	ANK_REP_REGION domain-containing protein	Ankyrin_rpt-contain_dom domain-containing protein	56
A8B8I7	GL50803_20633	72.92	Mediator of RNA polymerase II transcription subunit 31	Mediator of RNA polymerase II transcription subunit 31-B	Mediator of RNA polymerase II transcription subunit 31	Mediator of RNA polymerase II transcription subunit 31	Mediator of RNA polymerase II transcription subunit 31	647
A8B8N1	GL50803_13227	57.1	Uncharacterized protein	None	TIR domain-containing protein	None	CID domain-containing protein	2
A8B8Y7	GL50803_101534	90.1	Kinase, NEK	Cytokinesis protein sepH	Mitogen-activated protein kinase kinase kinase	Ornithine--oxo-acid aminotransferase	Protein kinase domain-containing protein	432
A8B8E3	GL50803_31295	73.85	DinF protein	Probable multidrug resistance protein NorM	MATE family efflux transporter	Protein DETOXIFICATION	Protein DETOXIFICATION	139
A8B8T0	GL50803_11771	73.46	Uncharacterized protein	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1	SNF5-domain-containing protein	55
A8B8V6	GL50803_11740	87.93	Ser/Thr phosphatase 2C	Protein phosphatase 2C homolog 1	Protein phosphatase	PPM-type phosphatase domain-containing protein	Protein-serine/threonine phosphatase	354
A8B8H7	GL50803_13268	72.43	40S ribosomal protein S25	40S ribosomal protein S25-3	40S ribosomal protein S25	40S ribosomal protein S25-3	40S ribosomal protein S25	539
A8B8E5	GL50803_9382	90.23	Prenyltransferase	Protein farnesyltransferase subunit beta	CAAX farnesyltransferase subunit beta	Protein farnesyltransferase subunit beta	Geranylgeranyl transferase type-2 subunit beta	189
A8B8R6	GL50803_137729	89.23	VSP	Major surface-labeled trophozoite antigen 417	Variant-specific surface protein	Surface antigen-like protein	Variant-specific surface protein	243
A8B8J9	GL50803_15398	90.24	Chaperone protein DnaJ	DnaJ homolog subfamily A member 1	DnaJ-related protein spj1	Heat shock protein	Chaperone protein DnaJ	797
A8B8C2	GL50803_6619	71.37	Uncharacterized protein	None	None	None	None	0
A8B8V3	GL50803_11742	79.59	Transcription factor RRN3	RNA polymerase I-specific transcription initiation factor rrn3	RNA polymerase I specific transcription initiation factor RRN3	LD10456p	RNA polymerase I-specific transcription initiation factor RRN3	116
A8B8Z9	GL50803_8003	78.19	Trafficking protein particle complex subunit	Trafficking protein particle complex subunit 3	Trafficking protein particle complex subunit	Trafficking protein particle complex subunit	Trafficking protein particle complex subunit	249
A8B8L8	GL50803_11341	74.22	Uncharacterized protein	None	None	None	None	0
A8B8W8	GL50803_10025	48.91	Uncharacterized protein	None	None	None	None	0
A8B8N7	GL50803_32312	65.51	Protein phosphatase 2C	Probable protein phosphatase 2C 9	Phosphoprotein phosphatase 2C, catalytic domain	Protein-serine/threonine phosphatase	PPM-type phosphatase domain-containing protein	368
A8B904	GL50803_8010	39.23	Uncharacterized protein	None	None	None	None	0
A8B8A6	GL50803_23930	76.52	Coiled-coil protein	Proton pump-interactor 2	Peptidoglycan DD-metalloendopeptidase family protein	Proton pump-interactor 2	Methyl-accepting chemotaxis protein	72
A8B8R9	GL50803_17411	90.85	T-complex protein 1 subunit gamma	T-complex protein 1 subunit gamma	T-complex protein 1 subunit gamma	T-complex protein 1 subunit gamma	60 kDa chaperonin	661
A8B8I9	GL50803_11319	83.17	U3 small nucleolar ribonucleoprotein IMP3	U3 small nucleolar ribonucleoprotein protein IMP3	U3 small nucleolar ribonucleoprotein IMP3	S4 RNA-binding domain-containing protein	30S ribosomal protein S4	1120
A8B8M0	GL50803_11342	47.85	Uncharacterized protein	None	SCO-spondin	None	SCO-spondin	1
A8B8F8	GL50803_14938	78.38	Ribosomal protein L12	60S ribosomal protein L12-B	Ribosomal protein L12	60S ribosomal protein L12-B	50S ribosomal protein L11	1186
A8B8E6	GL50803_14940	44.32	Leucine-rich repeat protein	None	TKL/IRAK protein kinase	None	TKL/IRAK protein kinase	1
A8B8A0	GL50803_6664	79.07	Zinc transporter domain protein	Zinc transporter ZIP1	Zinc transporter domain-containing protein	Zinc transporter 6 chloroplastic	Zinc transporter ZupT	61
A8B8E9	GL50803_112063	72.02	Major facilitator superfamily transporter	Multidrug resistance protein 2	Predicted arabinose efflux permease, MFS family	RE53026p	MFS domain-containing protein	321
A8B8G6	GL50803_15871	85.26	Serine peptidase	Probable serine protease EDA2	Serine carboxypeptidase	Prolyl carboxypeptidase like protein	Homoserine O-succinyltransferase	71
A8B8A9	GL50803_6671	67.15	Histone chaperone Rttp106-like family protein	FACT complex subunit pob3	Rtt106 domain-containing protein	FACT complex subunit pob3	FACT complex subunit SSRP1	220
A8B8G9	GL50803_3171	89.43	UBCE14	Ubiquitin-conjugating enzyme E2 13	UBC core domain-containing protein	CG9602 protein	UBC core domain-containing protein	616
A8B8U9	GL50803_104866	92.76	GTL3 aka MD0260	Cilia- and flagella-associated protein 20	DUF667 domain-containing protein	Cilia- and flagella-associated protein 20	DUF667 domain-containing protein	397
A8B8S2	GL50803_15501	79.18	CDC50	Cell cycle control protein 50A	CDC50	Cell cycle control protein 50A	ALA-interacting subunit	90
A8B8T3	GL50803_15495	65.4	RNA recognition motif-containing protein	Eukaryotic translation initiation factor 3 subunit B	RNA recognition motif-containing protein	Eukaryotic translation initiation factor 3 subunit B	Eukaryotic translation initiation factor 3 subunit B	193
A8B8Z2	GL50803_7999	89.38	Ribosomal protein S3	40S ribosomal protein S3	KH type-2 domain-containing protein	KH type-2 domain-containing protein	30S ribosomal protein S3	1470
A8B8W1	GL50803_29630	50.62	Uncharacterized protein	None	None	None	None	0
A8B8S8	GL50803_15499	70.91	Chromosome segregation protein SMC	None	None	None	None	0
A8B8K6	GL50803_11327	40.37	Uncharacterized protein	None	None	None	None	0
A8B8M1	GL50803_29500	72.11	Chaperonin 10	10 kDa chaperonin	Chaperonin 10	10 kDa chaperonin	10 kDa chaperonin	712
A8B8Z8	GL50803_8002	62.56	Nucleolar protein 16	Nucleolar protein 16	Nucleolar protein 16	Nucleolar protein 16	Nucleolar protein 16	140
A8B8K7	GL50803_11328	63.44	Spindle pole protein	None	None	None	None	0
A8B8J3	GL50803_15397	91.62	Kinase, CMGC CDK	Cyclin-dependent-like kinase 5	Protein kinase domain-containing protein	Cyclin-dependent kinase 5	Protein kinase domain-containing protein	494
A8B8N3	GL50803_3032	88.16	tryptophan--tRNA ligase	Tryptophan--tRNA ligase, cytoplasmic	Tryptophanyl-tRNA synthetase	Tryptophanyl-tRNA synthetase	Tryptophanyl-tRNA synthetase	616
A8B8H3	GL50803_13269	72.26	Eukaryotic translation initiation factor 3 subunit G	Eukaryotic translation initiation factor 3 subunit G	eIF3g domain-containing protein	RRM domain-containing protein	RRM domain-containing protein	144
A8B8U2	GL50803_11752	35.35	Uncharacterized protein	None	None	None	None	0
A8B8A4	GL50803_6666	39.67	Uncharacterized protein	None	None	None	None	0
A8B8G3	GL50803_22739	35.67	Uncharacterized protein	None	None	None	None	0
A8B8Z6	GL50803_8001	58.59	Ribosomal protein L15	60S ribosomal protein L15-2	Ribosomal protein L15	Ribosomal protein L15	Ribosomal protein L15	479
A8B8Y3	GL50803_117472	79.16	VSP	Major surface trophozoite antigen 11	VSP	Proprotein convertase subtilisin/kexin type 5	Variant-specific surface protein	151
A8B8K3	GL50803_17400	65.27	Cyclin	Cyclin-U2-2	CCY1B protein	Cyclin-U2-2	Cyclin	78
A8B8F4	GL50803_9376	83.91	Protein transport protein SEC23	Protein transport protein sec23	Protein transport protein SEC23	Protein transport protein SEC23	Protein transport protein SEC23	755
A8B8V5	GL50803_101397	82.47	Ankyrin repeat protein 1	Ankyrin repeat domain-containing protein 50	serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B-like	Transient receptor potential cation channel subfamily A member 1	Ankyrin_rpt-contain_dom domain-containing protein	101
A8B8T2	GL50803_15497	27.11	Uncharacterized protein	None	None	None	None	0
A8B8T7	GL50803_22587	54.55	Uncharacterized protein	None	Rab-GTPase-TBC domain-containing protein	None	Rab-GTPase-TBC domain-containing protein	1
A8B8H4	GL50803_3169	56.59	Cathepsin L	Zingipain-2	Cathepsin L	Cathepsin S, b.1	Pept_C1 domain-containing protein	199
A8B8I5	GL50803_29490	87.51	Copine I	E3 ubiquitin-protein ligase RGLG1	Phospholipid-binding Copine Family Protein	VWFA domain-containing protein	VWFA domain-containing protein	209
A8B8X9	GL50803_14696	40.65	Nucleoplasmin-like domain-containing protein	None	None	None	None	0
A8B903	GL50803_14608	58.45	Rho GAP	GTPase-activating protein BEM3	SRGP1 protein	Unplaced genomic scaffold supercont1.1, whole genome shotgun sequence	Tyrosine-protein kinase	4
A8B8U5	GL50803_11749	49.91	Uncharacterized protein	None	Transmembrane protein 196	None	Transmembrane protein 196	1
A8B8B6	GL50803_6625	41.4	Uncharacterized protein	Pre-mRNA-splicing factor SLT11	Pre-rna splicing factor	Pre-mRNA-splicing factor SLT11	Pre-mRNA-splicing factor SLT11	8
A8B8G1	GL50803_14937	48.18	Uncharacterized protein	None	NET domain-containing protein	None	NET domain-containing protein	1
A8B8X5	GL50803_8389	83.08	p60 Katanin	Katanin p60 ATPase-containing subunit A1	Katanin p60 ATPase-containing subunit A1	AAA domain-containing protein	AAA domain-containing protein	408
A8B8Q3	GL50803_14485	82.49	Ankyrin repeat protein 1	Receptor-interacting serine/threonine-protein kinase 4	Protein 21.1	GH07239p	Protein 21.1	109
A8B8F2	GL50803_14939	47.41	GiMOMP35	None	None	None	None	0
A8B8V1	GL50803_11743	63.97	Chromosome segregation protein SMC	None	HlyD family secretion protein	None	HlyD family secretion protein	1
A8B8T6	GL50803_11755	57.38	Ribosome biogenesis protein NSA2 homolog	Ribosome biogenesis protein NSA2 homolog	Ribosome biogenesis protein NSA2 homolog	Ribosome biogenesis protein NSA2 homolog	40S ribosomal protein S8	307
A8B8X6	GL50803_14694	42.61	Uncharacterized protein	L-amino acid amidase	AB hydrolase-1 domain-containing protein	Os01g0255000 protein	Dienelactone hydrolase family protein	13
A8B8S9	GL50803_11772	69.56	High cysteine membrane protein	None	High cysteine membrane protein	None	High cysteine membrane protein	1
A8B8P7	GL50803_7569	88.73	GTP-binding protein Sar1	GTP-binding protein Sar1	GTP-binding protein SAR1A	Small GTP-binding protein sar1	GTP-binding protein	67
A8B8Z3	GL50803_14606	93	Eukaryotic translation initiation factor 6	Eukaryotic translation initiation factor 6	Eukaryotic translation initiation factor 6	Eukaryotic translation initiation factor 6	Eukaryotic translation initiation factor 6	382
A8B8M5	GL50803_17404	30.88	Uncharacterized protein	None	None	None	None	0
A8B900	GL50803_8004	48	Uncharacterized protein	None	None	None	None	0
A8B901	GL50803_14607	33.49	Uncharacterized protein	None	None	None	None	0
A8B939	GL50803_3978	85.42	Ubiquitin-conjugating enzyme E2-17 kDa	Protein PEROXIN-4	UBC core domain-containing protein	Protein PEROXIN-4	UBC core domain-containing protein	538
A8B921	GL50803_7353	62.03	Uncharacterized protein	None	Olfactory receptor	None	G_PROTEIN_RECEP_F1_2 domain-containing protein	6
A8B911	GL50803_16969	72.93	RAN binding protein 1	Ran-specific GTPase-activating protein	Predicted protein	FinTRIM family, member 52, pseudogene	RanBD1 domain-containing protein	377
A8B980	GL50803_6519	50.14	Uncharacterized protein	None	TMP repeat protein	None	Peptidase_M23 domain-containing protein	5
A8B907	GL50803_16970	39.1	Uncharacterized protein	None	Probable RNA-directed DNA polymerase from transposon BS	None	Probable RNA-directed DNA polymerase from transposon BS	1
A8B918	GL50803_14434	89.03	Ankyrin repeat protein 1	Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit C	Serine/threonine-protein kinase NEK	Ankyrin repeat and KH domain-containing 1	Ankyrin_rpt-contain_dom domain-containing protein	100
A8B9B0	GL50803_6757	94.27	Pyrazinamidase/nicotinamidase	Nicotinamidase	Isochorismatase domain-containing protein	Nicotinamidase	Isochorismatase domain-containing protein	234
A8B9C3	GL50803_10062	54.2	Proteasome assembly chaperone 2	Peptidyl-tRNA hydrolase	AMP-(Fatty)acid ligase	Peptidyl-tRNA hydrolase	Peptidyl-tRNA hydrolase	5
A8B958	GL50803_16598	68.38	Mannose-1-phosphate guanyltransferase	Mannose-1-phosphate guanyltransferase	NDP-sugar synthase	GDP-mannose pyrophosphorylase	NTP_transferase domain-containing protein	22
A8B944	GL50803_3974	86.48	DNA-directed RNA polymerase III subunit 22.9 kDa polypeptide	DNA-directed RNA polymerase III subunit RPC8	DNA-directed RNA polymerase III subunit	DNA-directed RNA polymerase III subunit RPC8	DNA-directed RNA polymerase	113
A8B972	GL50803_14864	57.7	Chromosome segregation protein SMC	None	Methyl-accepting chemotaxis protein	None	Methyl-accepting chemotaxis protein	17
A8B966	GL50803_9088	96.35	4-methyl-5-thiazole monophosphate biosynthesis enzyme	Protein DJ-1 homolog B	DJ-1_PfpI domain-containing protein	Protein DJ-1 homolog B	DJ-1_PfpI domain-containing protein	177
A8B929	GL50803_7349	70.6	Ubiquitin	Probable ubiquitin carboxyl-terminal hydrolase MINDY-4	LisH domain-containing protein	Ubiquitin carboxyl-terminal hydrolase MINDY	Ubiquitin carboxyl-terminal hydrolase MINDY	285
A8B960	GL50803_10686	68.1	Ankyrin repeat protein 1	Ankyrin repeat and SAM domain-containing protein 4B	Ankyrin repeat protein 1	Glutaminase	Ankyrin_rpt-contain_dom domain-containing protein	154
A8B957	GL50803_10680	32.75	Uncharacterized protein	None	None	None	None	0
A8B965	GL50803_9087	46.03	Polysaccharide biosynthesis family protein	None	Polysacc_synt_4 domain-containing protein	None	Polysacc_synt_4 domain-containing protein	18
A8B989	GL50803_6508	33.25	Uncharacterized protein	None	None	None	None	0
A8B905	GL50803_137732	85.14	High cysteine membrane protein	None	EGF-like domain protein	None	EGF-like domain protein	1
A8B955	GL50803_29277	82.67	LSM domain-containing protein	Probable U6 snRNA-associated Sm-like protein LSm2	Sm domain-containing protein	Small nuclear ribonucleoprotein Sm D1	Small nuclear ribonucleoprotein Sm D1	343
A8B953	GL50803_10676	58.29	Chromosome segregation protein SMC	None	OmpA family protein	None	Methyl-accepting chemotaxis protein	2
A8B9C7	GL50803_10056	89.68	Rho GAP	Rho GTPase-activating protein gacF	Oligophrenin 1	Rho GTPase-activating protein gacF	Rho-GAP domain-containing protein	230
A8B942	GL50803_16602	78.67	CPL domain-containing protein	Pumilio homolog 3	CPL domain-containing protein	PUM-HD domain-containing protein	PUM-HD domain-containing protein	374
